*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=F_Interface_AL_Hardware_v0.02
*Date=11:37:08
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
110;;;88.9782;-51.004;-45;Bottom;TXT41
111;;;21.1624;-1.81107;0;Bottom;IMG2
112;;;8.54235;-6.89109;90;Bottom;TXT41
113;;;30.4388;-7.77698;131;Bottom;TXT41
114;;cap-pth-5mm;9.35606;-43.3887;90;Bottom;C17
115;;;79.6685;-2.29716;-90;Bottom;TXT41
116;;;80.2553;-65.7783;0;Bottom;TXT41
117;;;26.2188;-4.75872;0;Bottom;IMG2
118;;;94.4382;-44.944;0;Bottom;IMG2
119;;;88.9076;-18.8305;45;Bottom;TXT41
120;;THT;60.1561;-47.1587;90;Bottom;MUX_OUT
121;;cap-pth-5mm;11.8961;-43.3887;90;Bottom;C18
122;;;0.364118;-58.2712;90;Bottom;TXT41
123;;;2.37106;-60.8112;0;Bottom;IMG2
124;;THT;30.5701;-32.6426;-90;Bottom;J16
125;;;28.7588;-8.8352;124;Bottom;TXT41
126;;;53.8704;-3.77957;0;Bottom;TXT41
127;;;87.122;-67.5369;180;Bottom;TXT41
128;;;27.2066;-11.2342;0;Bottom;IMG2
129;;;94.4382;-37.9512;0;Bottom;IMG2
130;;;96.4766;-47.4527;0;Bottom;TXT41
131;;THT;57.2986;-63.3512;-90;Bottom;TM1637
132;;;63.966;-10.6463;0;Bottom;Via13
133;;;99.2049;-56.3897;-90;Bottom;TXT41
134;;;90.9393;-44.5481;0;Bottom;TXT41
135;;;10.9538;-21.2861;-45;Bottom;TXT41
136;;;12.1861;-3.64551;0;Bottom;IMG2
137;;;4.91106;-37.324;0;Bottom;IMG2
138;10k;THT;88.8945;-53.6721;135;Bottom;R72
139;;;88.8371;-16.4316;45;Bottom;TXT41
140;;;97.1663;-35.3171;0;Bottom;TXT41
141;;;51.2426;-54.7513;90;Bottom;TXT41
142;10k;THT;87.4611;-27.1562;180;Bottom;R90
143;;;62.2396;-5.32643;90;Bottom;TXT41
144;10k;THT;88.8852;-56.2028;-45;Bottom;R74
145;;;94.4696;-51.2784;0;Bottom;IMG2
146;;;85.4148;-10.5123;0;Bottom;TXT41
147;;;77.7729;-23.1971;0;Bottom;TXT41
148;;cap-pth-5mm;92.501;-7.4712;0;Bottom;C11
149;;;53.5042;-66.0016;-90;Bottom;TXT41
150;;;58.9989;-54.8594;90;Bottom;TXT41
151;;THT;44.596;-56.2646;75;Bottom;SUL-
152;;;93.5336;-1.57598;-90;Bottom;TXT41
153;;;58.5646;-63.3512;0;Bottom;IMG2
154;;;0.615008;-13.2723;90;Bottom;TXT41
155;;;2.47145;-46.744;0;Bottom;TXT41
156;;;49.5135;-21.1875;0;Bottom;TXT42
157;;;41.4235;-5.88379;0;Bottom;Via20
158;;;29.2762;-32.6517;0;Bottom;IMG2
159;;;57.0233;-55.0256;90;Bottom;TXT41
160;;;73.5266;-16.2414;0;Bottom;TXT41
161;;THT;89.6836;-65.2562;-90;Bottom;RS2
162;;;99.2048;-16.2826;-90;Bottom;TXT41
163;;;41.628;-67.3285;-90;Bottom;TXT41
